8;Abetone;PT;Toscana
97;Alagna Valsesia;VC;Piemonte
167;Alleghe;BL;Veneto
225;Andalo;TN;Trentino Alto Adige
275;Aprica;SO;Lombardia
426;Ayas;AO;Valle d'Aosta
441;Badia;BZ;Trentino Alto Adige
471;Bagolino;BS;Lombardia
523;Bardonecchia;TO;Piemonte
748;Bolognola;MC;Marche
830;Bormio;SO;Lombardia
832;Borno;BS;Lombardia
910;Bressanone;BZ;Trentino Alto Adige
956;Brunico;BZ;Trentino Alto Adige
963;Brusson;AO;Valle d'Aosta
1167;Campitello di Fassa;TN;Trentino Alto Adige
1221;Canazei;TN;Trentino Alto Adige
1236;Caneva;PN;Friuli Venezia Giulia
1304;Capracotta;IS;Molise
1409;Carpegna;PU;Marche
1550;Caspoggio;SO;Lombardia
1595;Castel del Monte;AQ;Abruzzo
2005;Cesana Torinese;TO;Piemonte
2029;Chamois;AO;Valle d'Aosta
2031;Champorcher;AO;Valle d'Aosta
2056;Chiesa in Valmalenco;SO;Lombardia
2149;Cittareale;RI;Lazio
2183;Claviere;TO;Piemonte
2205;Cogne;AO;Valle d'Aosta
2211;Colere;BG;Lombardia
2389;Cortina d'Ampezzo;BL;Veneto
2393;Corvara;PE;Abruzzo
2394;Corvara in Badia;BZ;Trentino Alto Adige
2428;Courmayeur;AO;Valle d'Aosta
2567;Dobbiaco;BZ;Trentino Alto Adige
2640;Entracque;CN;Piemonte
2688;Falcade;BL;Veneto
2704;Fano Adriano;TE;Abruzzo
2829;Folgaria;TN;Trentino Alto Adige
2861;Foppolo;BG;Lombardia
2886;Forni di Sopra;UD;Friuli Venezia Giulia
2909;Frabosa Soprana;CN;Piemonte
3105;Gerola Alta;SO;Lombardia
3252;Gressoney-la-Trinitè;AO;Valle d'Aosta
3253;Gressoney-Saint-Jean;AO;Valle d'Aosta
3430;La Thuile;AO;Valle d'Aosta
3594;Limone Piemonte;CN;Piemonte
3610;Livigno;SO;Lombardia
3714;Luserna;TN;Trentino Alto Adige
3742;Madesimo;SO;Lombardia
3796;Malles Venosta;BZ;Trentino Alto Adige
3859;Marebbe;BZ;Trentino Alto Adige
4119;Moena;TN;Trentino Alto Adige
4316;Montecopiolo;PU;Marche
4666;Nova Ponente;BZ;Trentino Alto Adige
4818;Ortisei;BZ;Trentino Alto Adige
4875;Ovindoli;AQ;Abruzzo
5102;Pescasseroli;AQ;Abruzzo
5111;Pescocostanzo;AQ;Abruzzo
5180;Piazzatorre;BG;Lombardia
5250;Pignola;PZ;Basilicata
5265;Pinzolo;TN;Trentino Alto Adige
5393;Ponte di Legno;BS;Lombardia
5490;Pozza di Fassa;TN;Trentino Alto Adige
5508;Pragelato;TO;Piemonte
5542;Predazzo;TN;Trentino Alto Adige
5808;Roburent;CN;Piemonte
6017;Ruffré Mendola;TN;Trentino Alto Adige
6045;Saint-Nicolas;AO;Valle d'Aosta
6048;Saint-Rhemy-En-Bosses;AO;Valle d'Aosta
6309;San Martino in Badia;BZ;Trentino Alto Adige
6559;Santa Cristina Valgardena;BZ;Trentino Alto Adige
6650;Sarentino;BZ;Trentino Alto Adige
6655;Sarnano;MC;Marche
6681;Sauze d'Oulx;TO;Piemonte
6715;Scano di Montiferro;OR;Sardegna
6731;Schilpario;BG;Lombardia
6779;Selva di Cadore;BL;Veneto
6781;Selva di Val Gardena;BZ;Trentino Alto Adige
6867;Sestriere;TO;Piemonte
7164;Tarvisio;UD;Friuli Venezia Giulia
7196;Temù;BS;Lombardia
7300;Torgnon;AO;Valle d'Aosta
7550;Ussita;MC;Marche
7574;Valbondione;BG;Lombardia
7580;Valdaora;BZ;Trentino Alto Adige
7605;Valgrisenche;AO;Valle d'Aosta
7613;Valle Castellana;TE;Abruzzo
7654;Valsavarenche;AO;Valle d'Aosta
7661;Valtorta;BG;Lombardia
7662;Valtournenche;AO;Valle d'Aosta
7846;Vignola-Falesina;TN;Trentino Alto Adige
7885;Villa Minozzo;RE;Emilia Romagna
8087;Zoldo Alto;BL;Veneto
8105;Cervinia Plateau Rosa;AO;Valle d'Aosta
8106;Folgarida;TN;Trentino Alto Adige
8107;Marilleva;TN;Trentino Alto Adige
8108;Peio Alta;TN;Trentino Alto Adige
8109;Monte Bondone;TN;Trentino Alto Adige
8110;Madonna di Campiglio;TN;Trentino Alto Adige
8111;San Martino di Castrozza;TN;Trentino Alto Adige
8112;Santa Caterina Valfurva;SO;Lombardia
8114;Sansicario;TO;Piemonte
8253;Monte Cimone;MO;Emilia Romagna
8390;Passo Tonale;TN;Trentino Alto Adige
8391;Carezza;BZ;Trentino Alto Adige
8392;Campo Felice;AQ;Abruzzo
8393;Campo Imperatore;AQ;Abruzzo
8396;Sella Nevea;UD;Friuli Venezia Giulia
8397;Solda;BZ;Trentino Alto Adige
8398;Terminillo;RI;Lazio
8400;Misurina;BL;Veneto
8402;Prato Nevoso;CN;Piemonte
8403;Champoluc;AO;Valle d'Aosta
8404;Campitello Matese;CB;Molise
8405;Passo San Pellegrino;TN;Trentino Alto Adige
8408;Alpe Cermis;TN;Trentino Alto Adige
8411;Alpe di Mera;VC;Piemonte
8412;Alpe di Siusi;BZ;Trentino Alto Adige
8413;Alta Badia;BZ;Trentino Alto Adige
8414;Alta Pusteria;BZ;Trentino Alto Adige
8419;Artesina;CN;Piemonte
8429;Cerreto Laghi;RE;Emilia Romagna
8445;Montecampione;BS;Lombardia
8457;Polsa;TN;Trentino Alto Adige
8458;Plan de Corones;BZ;Trentino Alto Adige
8460;Piane di Mocogno;MO;Emilia Romagna
8462;Piancavallo;PN;Friuli Venezia Giulia
8465;Pila;AO;Valle d'Aosta
8494;Ventasso;RE;Emilia Romagna
8495;Campigna;FC;Emilia Romagna
